Country/Region,Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,Confirmed last week,1 week change,1 week % increase,WHO Region_x,Continent,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,WHO Region_y
Afghanistan,36263.0,1269.0,25198.0,9796.0,106.0,10.0,18.0,3.5,69.49,5.04,35526.0,737.0,2.07,Eastern Mediterranean,Asia,39009447.0,36896.0,,1298.0,,25840.0,,9758.0,31.0,946.0,33.0,90396.0,2317.0,EasternMediterranean
Albania,4880.0,144.0,2745.0,1991.0,117.0,6.0,63.0,2.95,56.25,5.25,4171.0,709.0,17.0,Europe,Europe,2877470.0,6016.0,,188.0,,3155.0,,2673.0,23.0,2091.0,65.0,38997.0,13553.0,Europe
Algeria,27973.0,1163.0,18837.0,7973.0,616.0,8.0,749.0,4.16,67.34,6.17,23691.0,4282.0,18.07,Africa,Africa,43926079.0,33626.0,,1273.0,,23238.0,,9115.0,57.0,766.0,29.0,,,Africa
Andorra,907.0,52.0,803.0,52.0,10.0,0.0,0.0,5.73,88.53,6.48,884.0,23.0,2.6,Europe,Europe,77278.0,944.0,,52.0,,828.0,,64.0,1.0,12216.0,673.0,3750.0,48526.0,Europe
Angola,950.0,41.0,242.0,667.0,18.0,1.0,0.0,4.32,25.47,16.94,749.0,201.0,26.84,Africa,Africa,32956300.0,1483.0,,64.0,,520.0,,899.0,20.0,45.0,2.0,64747.0,1965.0,Africa
Antigua and Barbuda,86.0,3.0,65.0,18.0,4.0,0.0,5.0,3.49,75.58,4.62,76.0,10.0,13.16,Americas,North America,98010.0,92.0,,3.0,,76.0,,13.0,1.0,939.0,31.0,1500.0,15305.0,Americas
Argentina,167416.0,3059.0,72575.0,91782.0,4890.0,120.0,2057.0,1.83,43.35,4.21,130774.0,36642.0,28.02,Americas,South America,45236884.0,228195.0,,4251.0,,99852.0,,124092.0,1150.0,5044.0,94.0,794544.0,17564.0,Americas
Armenia,37390.0,711.0,26665.0,10014.0,73.0,6.0,187.0,1.9,71.32,2.67,34981.0,2409.0,6.89,Europe,Asia,2963811.0,39819.0,,772.0,,31556.0,,7491.0,,13435.0,260.0,171600.0,57898.0,Europe
Aruba,,,,,,,,,,,,,,,North America,106812.0,263.0,,3.0,,114.0,,146.0,,2462.0,28.0,14047.0,131511.0,
Australia,15303.0,167.0,9311.0,5825.0,368.0,6.0,137.0,1.09,60.84,1.79,12428.0,2875.0,23.13,Western Pacific,Australia/Oceania,25528864.0,19890.0,,255.0,,10941.0,,8694.0,52.0,779.0,10.0,4631419.0,181419.0,WesternPacific
Austria,20558.0,713.0,18246.0,1599.0,86.0,1.0,37.0,3.47,88.75,3.91,19743.0,815.0,4.13,Europe,Europe,9011577.0,21696.0,,719.0,,19596.0,,1381.0,25.0,2408.0,80.0,937275.0,104008.0,Europe
Azerbaijan,30446.0,423.0,23242.0,6781.0,396.0,6.0,558.0,1.39,76.34,1.82,27890.0,2556.0,9.16,Europe,Asia,10148243.0,33247.0,,479.0,,29275.0,,3493.0,66.0,3276.0,47.0,766179.0,75499.0,Europe
Bahamas,382.0,11.0,91.0,280.0,40.0,0.0,0.0,2.88,23.82,12.09,174.0,208.0,119.54,Americas,North America,393616.0,761.0,,14.0,,91.0,,656.0,1.0,1933.0,36.0,4814.0,12230.0,Americas
Bahrain,39482.0,141.0,36110.0,3231.0,351.0,1.0,421.0,0.36,91.46,0.39,36936.0,2546.0,6.89,Eastern Mediterranean,Asia,1706669.0,42889.0,,156.0,,39945.0,,2788.0,41.0,25130.0,91.0,876700.0,513691.0,EasternMediterranean
Bangladesh,226225.0,2965.0,125683.0,97577.0,2772.0,37.0,1801.0,1.31,55.56,2.36,207453.0,18772.0,9.05,South-East Asia,Asia,164851401.0,249651.0,,3306.0,,143824.0,,102521.0,,1514.0,20.0,1225124.0,7432.0,South-EastAsia
Barbados,110.0,7.0,94.0,9.0,0.0,0.0,0.0,6.36,85.45,7.45,106.0,4.0,3.77,Americas,North America,287411.0,133.0,,7.0,,100.0,,26.0,,463.0,24.0,12233.0,42563.0,Americas
Belarus,67251.0,538.0,60492.0,6221.0,119.0,4.0,67.0,0.8,89.95,0.89,66213.0,1038.0,1.57,Europe,Europe,9449001.0,68503.0,,580.0,,63756.0,,4167.0,,7250.0,61.0,1344303.0,142269.0,Europe
Belgium,66428.0,9822.0,17452.0,39154.0,402.0,1.0,14.0,14.79,26.27,56.28,64094.0,2334.0,3.64,Europe,Europe,11594739.0,71158.0,,9859.0,,17661.0,,43638.0,61.0,6137.0,850.0,1767120.0,152407.0,Europe
Belize,48.0,2.0,26.0,20.0,0.0,0.0,0.0,4.17,54.17,7.69,40.0,8.0,20.0,Americas,North America,398312.0,86.0,,2.0,,31.0,,53.0,2.0,216.0,5.0,3679.0,9236.0,Americas
Benin,1770.0,35.0,1036.0,699.0,0.0,0.0,0.0,1.98,58.53,3.38,1602.0,168.0,10.49,Africa,Africa,12151976.0,1936.0,,38.0,,1600.0,,298.0,1.0,159.0,3.0,93677.0,7709.0,Africa
Bermuda,,,,,,,,,,,,,,,North America,62254.0,157.0,,9.0,,144.0,,4.0,,2522.0,145.0,26352.0,423298.0,Americas
Bhutan,99.0,0.0,86.0,13.0,4.0,0.0,1.0,0.0,86.87,0.0,90.0,9.0,10.0,South-East Asia,Asia,772443.0,105.0,,,,93.0,,12.0,,136.0,,54589.0,70671.0,South-EastAsia
Bolivia,71181.0,2647.0,21478.0,47056.0,1752.0,64.0,309.0,3.72,30.17,12.32,60991.0,10190.0,16.71,Americas,South America,11688459.0,86423.0,1282.0,3465.0,80.0,27373.0,936.0,55585.0,71.0,7394.0,296.0,183583.0,15706.0,Americas
